Gene	Chrom	Start	End	Strand	Introns	Expression	Functional	NotFunctional	Functional_Transcripts	NotFunctional_Transcripts	Shannon	Evenness	Hill_q0	Hill_q1	Hill_q2	Num_Isoforms	MatingTypeRegion
917	scaffold_13	548669	551365	+	2	28	28	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
918	scaffold_13	551467	553325	+	2	10	10	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
919	scaffold_13	553398	554401	+	2	992	231	761	1	1	0.5427	0.7830	2	1.7207	1.5559	2	0
estExt_Genemark1.C_130233	scaffold_13	554465	557016	+	0	12	12	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
921	scaffold_13	561796	562934	+	2	255	220	35	1	1	0.3999	0.5770	2	1.4917	1.3103	2	0
922	scaffold_13	565704	567326	+	1	457	457	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
923	scaffold_13	569608	570408	+	0	384	384	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
924	scaffold_13	573273	574662	+	1	13	13	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
925	scaffold_13	581128	582548	+	0	326	326	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
926	scaffold_13	590811	592809	+	1	15	3	12	1	3	1.3793	0.9949	4	3.9721	3.9474	4	0
927	scaffold_13	593433	594239	+	0	22	22	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
928	scaffold_13	595030	596071	+	0	188	188	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_130045	scaffold_13	596180	597250	+	0	29	29	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
930	scaffold_13	599756	601026	+	2	213	210	3	2	1	0.2019	0.1838	3	1.2238	1.0890	3	0
931	scaffold_13	601976	602979	+	0	402	402	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.13_5883_4275175:1	scaffold_13	620353	623143	+	2	1114	205	909	2	3	0.9865	0.6130	5	2.6819	1.9703	5	0
933	scaffold_13	623322	624939	+	3	646	646	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.SAR_fgenesh1_pm.C_scaffold_13000033	scaffold_13	625721	640329	+	0	103	19	84	1	2	0.9660	0.8793	3	2.6274	2.3383	3	0
estExt_fgenesh3_kg.C_130033	scaffold_13	641329	643629	+	4	144	5	139	1	5	1.6336	0.9117	6	5.1224	4.6410	6	0
937	scaffold_13	644572	647424	+	4	34	12	22	3	2	1.4537	0.9032	5	4.2789	3.7290	5	0
938	scaffold_13	652493	653961	+	1	15	15	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
939	scaffold_13	657035	657685	+	1	18	0	18	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_130188	scaffold_13	661529	663363	+	2	7	3	4	1	1	0.6829	0.9852	2	1.9796	1.9600	2	0
941	scaffold_13	663507	666163	+	2	22	22	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
942	scaffold_13	666396	668043	+	2	87	87	0	2	0	0.3326	0.4798	2	1.3946	1.2277	2	0
943	scaffold_13	671595	674253	+	3	1168	1168	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
944	scaffold_13	678977	681174	+	4	12	7	5	1	1	0.6792	0.9799	2	1.9723	1.9459	2	0
MicpuC2.EuGene.0000130343	scaffold_13	682651	683939	+	1	20	20	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
946	scaffold_13	684890	686791	+	3	7	7	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pm.C_130156	scaffold_13	686954	688735	+	2	101	45	56	2	1	0.8798	0.8008	3	2.4104	2.2037	3	0
MicpuC2.est_orfs.13_5906_4277542:1	scaffold_13	690401	693116	+	5	25	25	0	2	0	0.6269	0.9044	2	1.8717	1.7705	2	0
949	scaffold_13	703578	704272	+	0	59	59	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
950	scaffold_13	707091	708481	+	1	85	85	0	2	0	0.5718	0.8250	2	1.7715	1.6225	2	0
951	scaffold_13	712909	714825	+	2	54	54	0	2	0	0.4506	0.6500	2	1.5692	1.3846	2	0
952	scaffold_13	722509	723616	+	1	357	301	56	1	1	0.4344	0.6268	2	1.5441	1.3596	2	0
953	scaffold_13	727956	729516	+	3	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.AAE_EuGene.0000130372	scaffold_13	734390	736315	+	1	345	345	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000130380	scaffold_13	747746	749178	+	0	35	35	0	2	0	0.6895	0.9947	2	1.9927	1.9854	2	0
956	scaffold_13	756314	757402	+	1	32	0	32	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_130319	scaffold_13	763268	764520	+	1	20908	1981	18927	1	2	0.3839	0.3495	3	1.4680	1.2434	3	0
MicpuC2.estExt_fgenesh1_kg.C_130010	scaffold_13	773864	774711	+	1	22	22	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_130056	scaffold_13	783879	785032	+	2	2027	2000	27	2	1	0.2380	0.2167	3	1.2687	1.1135	3	0
960	scaffold_13	785830	786615	+	0	273	0	273	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
961	scaffold_13	786763	788711	+	2	19	19	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_13_t20064	scaffold_13	791350	792634	+	1	10	10	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
963	scaffold_13	793711	795228	+	2	204	204	0	3	0	0.3998	0.3639	3	1.4915	1.2446	3	0
964	scaffold_13	797046	799056	+	0	7	7	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.13_5950_4275896:1	scaffold_13	804162	806732	+	6	1825	1825	0	2	0	0.1033	0.1491	2	1.1089	1.0437	2	0
966	scaffold_13	812421	814046	+	1	179	179	0	2	0	0.4242	0.6119	2	1.5283	1.3444	2	0
967	scaffold_13	817630	819238	+	2	480	435	45	1	2	0.3655	0.3327	3	1.4412	1.2097	3	0
968	scaffold_13	821235	822468	+	0	296	296	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1.C_130405	scaffold_13	825637	827731	+	1	8322	8322	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_130062	scaffold_13	829025	831795	+	3	76	25	51	5	7	2.3370	0.9405	12	10.3499	8.9969	12	0
971	scaffold_13	832506	834036	+	1	158	158	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000130437	scaffold_13	838986	840983	+	1	308	308	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
973	scaffold_13	844643	845987	+	2	13	13	0	2	0	0.6172	0.8905	2	1.8538	1.7423	2	0
974	scaffold_13	847188	848887	+	1	8	4	4	1	1	0.6931	1.0000	2	2.0000	2.0000	2	0
MicpuC2.EuGene.0000130444	scaffold_13	851999	853754	+	2	441	415	26	2	3	0.5714	0.3550	5	1.7707	1.3461	5	0
976	scaffold_13	855779	856773	+	2	21	21	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
977	scaffold_13	858253	858964	+	0	10	10	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
978	scaffold_13	862002	863617	+	0	50	50	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_130262	scaffold_13	864748	867197	+	0	215	215	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.PR_1300000039	scaffold_13	871568	873465	+	1	38	38	0	4	0	1.1731	0.8462	4	3.2320	2.6741	4	0
981	scaffold_13	876857	878360	+	1	29	15	14	3	1	1.1841	0.8541	4	3.2677	2.8508	4	0
982	scaffold_13	879729	880626	+	0	35	35	0	2	0	0.6225	0.8981	2	1.8636	1.7575	2	0
MicpuC2.estExt_fgenesh1_pg.C_130266	scaffold_13	882346	884722	+	1	708	708	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1.C_130443	scaffold_13	887170	889580	+	2	4820	3317	1503	1	4	0.9732	0.6047	5	2.6463	1.9506	5	0
985	scaffold_13	889696	891338	+	1	4	4	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1.C_140003	scaffold_14	5569	9342	+	2	332	46	286	1	2	0.9918	0.9028	3	2.6961	2.5202	3	0
987	scaffold_14	9534	11420	+	2	119	112	7	1	1	0.2237	0.3228	2	1.2507	1.1245	2	0
988	scaffold_14	12631	15187	+	4	103	59	44	6	2	1.8273	0.8788	8	6.2171	5.3716	8	0
MicpuC2.EuGene.0000140010	scaffold_14	20010	21780	+	2	228	222	6	1	1	0.1217	0.1756	2	1.1294	1.0540	2	0
990	scaffold_14	44602	45585	+	0	17	17	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pm.C_140003	scaffold_14	70478	73328	+	1	39	6	33	2	4	1.4400	0.8037	6	4.2206	3.1361	6	0
992	scaffold_14	82865	84908	+	2	56	44	12	1	2	0.6681	0.6081	3	1.9505	1.5618	3	0
MicpuC2.estExt_Genewise1Plus.C_140020	scaffold_14	87149	90046	+	2	35	35	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
994	scaffold_14	95356	97628	+	0	13	13	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
995	scaffold_14	107385	109422	+	1	14	14	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
996	scaffold_14	112295	113061	+	0	905	0	905	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
997	scaffold_14	113241	115535	+	0	45	5	40	1	2	0.9605	0.8743	3	2.6130	2.4310	3	0
MicpuC2.EuGene.0000140049	scaffold_14	122604	124845	+	3	191	175	16	2	1	0.3673	0.3343	3	1.4439	1.2222	3	0
999	scaffold_14	130278	131200	+	1	315	67	248	1	1	0.5175	0.7466	2	1.6778	1.5036	2	0
1000	scaffold_14	135418	137327	+	4	191	191	0	3	0	0.2854	0.2598	3	1.3302	1.1475	3	0
estExt_Genemark1.C_140049	scaffold_14	138235	142427	+	1	22	22	0	2	0	0.6890	0.9940	2	1.9917	1.9836	2	0
estExt_Genemark1.C_140052	scaffold_14	147900	149763	+	0	134	110	24	1	1	0.4700	0.6781	2	1.6000	1.4165	2	0
MicpuC2.est_orfs.14_2689_4271132:2	scaffold_14	154689	158019	+	3	229	47	182	1	2	1.0428	0.9492	3	2.8372	2.7005	3	0
MicpuC2.est_orfs.14_2694_4274277:2	scaffold_14	160242	162236	+	1	14	14	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_140058	scaffold_14	166792	169954	+	1	51	3	48	1	3	1.0287	0.7421	4	2.7975	2.3841	4	0
1007	scaffold_14	172581	173799	+	0	53	53	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1008	scaffold_14	174374	176531	+	3	127	127	0	3	0	0.3046	0.2772	3	1.3560	1.1550	3	0
1009	scaffold_14	177859	180225	+	2	49	34	15	2	1	0.8230	0.7492	3	2.2774	2.0092	3	0
1010	scaffold_14	238789	240151	+	0	182	182	0	2	0	0.6882	0.9929	2	1.9902	1.9806	2	0
1011	scaffold_14	243426	245966	+	2	43	43	0	2	0	0.4041	0.5830	2	1.4980	1.3160	2	0
1012	scaffold_14	250288	253363	+	3	35	3	32	1	5	1.6046	0.8955	6	4.9757	4.2683	6	0
1013	scaffold_14	255518	256824	+	0	30	30	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000140090	scaffold_14	262775	265220	+	1	36	36	0	3	0	0.9630	0.8766	3	2.6195	2.3736	3	0
1015	scaffold_14	265452	267481	+	4	28	16	12	3	1	1.2452	0.8983	4	3.4738	3.1360	4	0
1016	scaffold_14	267704	269109	+	1	3629	3567	62	3	1	0.2646	0.1909	4	1.3029	1.1148	4	0
1017	scaffold_14	273419	275427	+	4	14	3	11	1	2	1.0609	0.9657	3	2.8891	2.8000	3	0
1018	scaffold_14	280077	281449	+	2	65	65	0	6	0	1.6336	0.9117	6	5.1224	4.6175	6	0
MicpuC2.EuGene.0000140102	scaffold_14	290339	292700	+	1	44	4	40	1	3	1.0836	0.7816	4	2.9552	2.3960	4	0
MicpuC2.estExt_fgenesh1_pm.C_140014	scaffold_14	301141	303593	+	2	66	63	3	1	1	0.1849	0.2668	2	1.2031	1.0950	2	0
1021	scaffold_14	311300	312138	+	1	6	6	0	2	0	0.6931	1.0000	2	2.0000	2.0000	2	0
estExt_Genemark1.C_140092	scaffold_14	313880	315268	+	0	129	51	78	2	2	1.3295	0.9590	4	3.7791	3.6453	4	0
1023	scaffold_14	315838	317635	+	0	12	4	8	1	1	0.6365	0.9183	2	1.8899	1.8000	2	0
1024	scaffold_14	325135	326988	+	2	20	4	16	1	1	0.5004	0.7219	2	1.6494	1.4706	2	0
estExt_Genewise1.C_14_t10141	scaffold_14	331252	333105	+	2	677	677	0	2	0	0.3662	0.5283	2	1.4423	1.2669	2	0
1026	scaffold_14	340284	343216	+	6	52	52	0	2	0	0.2712	0.3912	2	1.3115	1.1655	2	0
estExt_fgenesh1_pm.C_140047	scaffold_14	343250	344425	+	2	336	336	0	2	0	0.3145	0.4537	2	1.3696	1.2082	2	0
1028	scaffold_14	346798	348646	+	3	113	104	9	3	2	0.6813	0.4233	5	1.9764	1.4297	5	0
fgenesh2_kg.14_#_26_#_4275462:13	scaffold_14	349722	350842	+	1	5565	5565	0	2	0	0.1246	0.1798	2	1.1327	1.0557	2	0
MicpuC2.estExt_fgenesh1_pm.C_140015	scaffold_14	353592	355977	+	2	123	75	48	4	1	1.4318	0.8896	5	4.1860	3.6765	5	0
1031	scaffold_14	358353	358949	+	0	7	7	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.14_#_29_#_4271122:2	scaffold_14	359073	359950	+	1	328	316	12	2	1	0.4728	0.4304	3	1.6045	1.3148	3	0
1033	scaffold_14	363732	364378	+	0	2581	2581	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1034	scaffold_14	368556	370730	+	0	38	38	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1035	scaffold_14	372912	376124	+	3	88	4	84	1	4	1.4185	0.8814	5	4.1310	3.6632	5	0
1036	scaffold_14	380296	381027	+	1	24	24	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1037	scaffold_14	387422	388750	+	2	65	65	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_14_t10187	scaffold_14	391628	392950	+	1	294	294	0	3	0	0.9879	0.8992	3	2.6855	2.5050	3	0
1039	scaffold_14	398985	401591	+	1	104	6	98	2	4	1.1549	0.6446	6	3.1737	2.1859	6	0
MicpuC2.estExt_fgenesh1_pg.C_140106	scaffold_14	409508	411325	+	1	86	86	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1041	scaffold_14	413560	414472	+	0	24	24	0	2	0	0.6897	0.9950	2	1.9931	1.9862	2	0
1042	scaffold_14	414562	416085	+	0	28	28	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1043	scaffold_14	417108	418444	+	0	39	39	0	2	0	0.6902	0.9957	2	1.9941	1.9882	2	0
estExt_Genewise1.C_14_t10218	scaffold_14	421832	424306	+	3	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pm.C_140021	scaffold_14	433094	434813	+	1	1202	1164	38	1	1	0.1403	0.2024	2	1.1506	1.0652	2	0
1046	scaffold_14	443706	445527	+	2	82	82	0	3	0	0.6776	0.6168	3	1.9691	1.6336	3	0
1047	scaffold_14	445563	446874	+	2	49	49	0	2	0	0.2303	0.3323	2	1.2590	1.1299	2	0
1048	scaffold_14	450908	451642	+	0	13	6	7	1	1	0.6902	0.9957	2	1.9941	1.9882	2	0
estExt_Genemark1.C_140154	scaffold_14	453771	456390	+	2	58	44	14	1	2	0.7100	0.6463	3	2.0340	1.6474	3	0
1050	scaffold_14	460872	462770	+	1	97	97	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1051	scaffold_14	468513	469977	+	2	170	170	0	3	0	1.0176	0.9263	3	2.7666	2.5575	3	0
MicpuC2.EuGene.0000140197	scaffold_14	470335	471497	+	1	14752	14752	0	2	0	0.1550	0.2236	2	1.1677	1.0746	2	0
1053	scaffold_14	473813	474984	+	0	128	128	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh3_kg.C_140025	scaffold_14	483343	484376	+	1	2888	2888	0	2	0	0.0715	0.1032	2	1.0742	1.0274	2	0
1055	scaffold_14	492045	493374	+	2	19	16	3	3	1	1.2649	0.9124	4	3.5426	3.1391	4	0
1056	scaffold_14	495439	496533	+	2	334	334	0	3	0	0.7411	0.6746	3	2.0982	1.8733	3	0
1057	scaffold_14	502089	504348	+	3	11	11	0	2	0	0.5860	0.8454	2	1.7967	1.6575	2	0
MicpuC2.estExt_Genewise1Plus.C_140171	scaffold_14	504446	507415	+	3	86	25	61	1	2	1.0828	0.9856	3	2.9530	2.9049	3	0
1059	scaffold_14	508133	508954	+	0	9	9	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.14_#_40_#_4270978:2	scaffold_14	512397	514341	+	2	18	12	6	4	1	1.5607	0.9697	5	4.7622	4.5000	5	0
1061	scaffold_14	517496	519329	+	2	79	65	14	1	2	0.5826	0.5303	3	1.7908	1.4410	3	0
1062	scaffold_14	521669	523268	+	1	4	4	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_140183	scaffold_14	527246	528753	+	0	698	698	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1064	scaffold_14	528989	530754	+	1	118	118	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_140185	scaffold_14	531083	533700	+	2	135	135	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.14_2830_4273588:1	scaffold_14	533953	534792	+	1	4527	168	4359	1	1	0.1587	0.2289	2	1.1719	1.0770	2	0
1067	scaffold_14	536636	537403	+	0	96	96	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.14_#_42_#_4277156:522	scaffold_14	543797	544304	+	0	94	94	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1069	scaffold_14	554082	555468	+	0	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1070	scaffold_14	555542	557132	+	0	25	25	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1071	scaffold_14	557171	558572	+	1	18	18	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1072	scaffold_14	558633	560564	+	2	114	114	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1073	scaffold_14	565428	566447	+	0	34	34	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_140043	scaffold_14	570663	571699	+	1	355	344	11	2	1	0.3906	0.3555	3	1.4778	1.2294	3	0
fgenesh2_kg.14_#_45_#_4277563:1	scaffold_14	573066	574548	+	1	16	16	0	3	0	1.0239	0.9320	3	2.7841	2.6122	3	0
1076	scaffold_14	576555	577608	+	1	89	89	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1077	scaffold_14	577719	578951	+	0	80	80	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1078	scaffold_14	584568	585886	+	0	14	14	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_kg.C_140005	scaffold_14	587337	588402	+	1	5491	5414	77	1	1	0.0738	0.1064	2	1.0765	1.0284	2	0
1080	scaffold_14	604171	605490	+	0	73	0	73	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
1081	scaffold_14	609803	610565	+	0	205	205	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1082	scaffold_14	610636	612501	+	2	1001	973	28	3	1	0.4438	0.3202	4	1.5587	1.2485	4	0
1083	scaffold_14	625176	626491	+	0	54	54	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1084	scaffold_14	626717	628421	+	0	51	51	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1085	scaffold_14	639195	639769	+	0	3	0	3	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
1086	scaffold_14	639881	640580	+	1	199	186	13	2	1	0.6103	0.5555	3	1.8409	1.4824	3	0
1087	scaffold_14	642336	644183	+	2	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1088	scaffold_14	651023	651510	+	0	6	0	6	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
1089	scaffold_14	655925	656739	+	1	65	65	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.14_#_55_#_4273642:1	scaffold_14	660868	661990	+	1	853	853	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_140268	scaffold_14	662207	664384	+	0	214	105	109	1	1	0.6930	0.9997	2	1.9997	1.9993	2	0
1092	scaffold_14	669134	670519	+	2	1507	1507	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1.C_140271	scaffold_14	671527	672977	+	2	929	929	0	2	0	0.1426	0.2058	2	1.1533	1.0667	2	0
MicpuC2.EuGene.0000140303	scaffold_14	674004	674744	+	1	283	171	112	1	1	0.6713	0.9684	2	1.9567	1.9167	2	0
1095	scaffold_14	675755	676634	+	0	57	0	57	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_140188	scaffold_14	679732	682017	+	2	19	5	14	1	2	1.0871	0.9895	3	2.9656	2.9350	3	0
1097	scaffold_14	682037	683559	+	3	109	109	0	5	0	1.1615	0.7217	5	3.1947	2.6361	5	0
1098	scaffold_14	688528	690100	+	1	277	277	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.14_2891_4278002:2	scaffold_14	695385	697376	+	2	36	11	25	3	2	1.4294	0.8881	5	4.1761	3.6610	5	0
1100	scaffold_14	703834	705282	+	1	44	0	44	0	3	0.9957	0.9064	3	2.7067	2.5474	3	0
MicpuC2.estExt_fgenesh1_pm.C_140037	scaffold_14	708007	710183	+	3	104	104	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1102	scaffold_14	710351	711575	+	0	158	158	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1103	scaffold_14	711664	713582	+	0	41	41	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1104	scaffold_14	720174	721203	+	1	840	840	0	2	0	0.2543	0.3668	2	1.2895	1.1502	2	0
1105	scaffold_14	723341	726062	+	1	139	136	3	2	1	0.2078	0.1891	3	1.2310	1.0912	3	0
1106	scaffold_14	726910	728389	+	0	17	17	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1107	scaffold_14	729771	730934	+	1	21	21	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000140339	scaffold_14	733273	734516	+	0	295	295	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000140345	scaffold_14	747523	748646	+	1	880	844	36	1	1	0.1708	0.2464	2	1.1863	1.0852	2	0
fgenesh2_kg.14_#_66_#_4276868:1	scaffold_14	752407	754784	+	3	24	3	21	1	3	1.2627	0.9108	4	3.5350	3.1648	4	0
1111	scaffold_14	756045	758210	+	2	119	115	4	3	1	0.8773	0.6328	4	2.4044	2.0797	4	0
1112	scaffold_14	758265	759698	+	1	24	20	4	1	1	0.4506	0.6500	2	1.5692	1.3846	2	0
MicpuC2.estExt_fgenesh1_pg.C_140218	scaffold_14	760065	761693	+	1	40	40	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1114	scaffold_14	766291	768480	+	1	10	4	6	1	1	0.6730	0.9710	2	1.9601	1.9231	2	0
1115	scaffold_14	771224	773093	+	0	232	232	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1116	scaffold_14	775527	776823	+	2	51	51	0	2	0	0.2237	0.3228	2	1.2507	1.1245	2	0
fgenesh3_kg.14_#_46_#_isotig02515	scaffold_14	776874	777546	+	0	132	132	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000140362	scaffold_14	779849	782518	+	3	52	52	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1119	scaffold_14	786469	787016	+	1	347	0	347	0	2	0.2040	0.2943	2	1.2263	1.1091	2	0
1120	scaffold_14	791385	792812	+	1	177	177	0	2	0	0.5273	0.7608	2	1.6944	1.5234	2	0
1121	scaffold_14	795168	796188	+	1	180	180	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1122	scaffold_14	801467	803728	+	2	39	26	13	4	1	1.5247	0.9473	5	4.5937	4.2605	5	0
1123	scaffold_14	804587	805803	+	1	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1124	scaffold_14	808728	811062	+	2	69	41	28	5	1	1.4793	0.8256	6	4.3899	3.5770	6	0
1125	scaffold_14	814853	817207	+	4	91	72	19	1	4	0.7764	0.4824	5	2.1737	1.5627	5	0
1126	scaffold_14	818664	819897	+	2	131	126	5	1	1	0.1621	0.2338	2	1.1760	1.0792	2	0
1127	scaffold_14	820033	821017	+	1	34	34	0	3	0	0.9459	0.8610	3	2.5750	2.2846	3	0
1128	scaffold_14	834595	835631	+	0	25	25	0	2	0	0.6859	0.9896	2	1.9856	1.9716	2	0
1129	scaffold_14	836901	838792	+	0	23	23	0	2	0	0.5740	0.8281	2	1.7753	1.6277	2	0
MicpuC2.estExt_Genewise1.C_140367	scaffold_14	849850	851953	+	1	96	32	64	3	2	1.3947	0.8665	5	4.0336	3.6113	5	0
MicpuC2.estExt_fgenesh1_pm.C_140049	scaffold_14	854302	855746	+	1	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1132	scaffold_14	858221	859427	+	2	230	175	55	2	1	0.9308	0.8473	3	2.5366	2.2180	3	0
MicpuC2.estExt_Genewise1Plus.C_140377	scaffold_14	861109	862114	+	1	10	10	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
1134	scaffold_14	865946	866659	+	0	104	104	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_140252	scaffold_14	869709	873030	+	2	92	3	89	1	3	1.1620	0.8382	4	3.1962	2.9409	4	0
estExt_fgenesh1_pm.C_140164	scaffold_14	873089	875441	+	3	71	64	7	1	2	0.3893	0.3544	3	1.4760	1.2232	3	0
estExt_fgenesh2_kg.C_150001	scaffold_15	6620	7755	+	0	2176	2176	0	2	0	0.3622	0.5226	2	1.4365	1.2620	2	0
1138	scaffold_15	9062	12115	+	2	68	22	46	1	3	1.2398	0.8943	4	3.4549	3.2291	4	0
MicpuC2.estExt_Genewise1Plus.C_150002	scaffold_15	13718	15434	+	2	2471	2471	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh3_kg.C_150003	scaffold_15	15720	17510	+	0	2258	2258	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
